epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,94.3521,1.22623,1.30116,1.07246,0.59014,0.69933,0.62536,0.35601,1.23752,2.66152,1.15013,0.008581,0.008581,0.008581
45,96.1805,1.32321,1.28221,1.04223,0.59014,0.69933,0.62536,0.35601,1.23752,2.66152,1.15013,0.008548,0.008548,0.008548
46,98.0885,1.27592,1.25381,1.07939,0.60471,0.73873,0.68295,0.40768,1.19777,2.40537,1.14061,0.008515,0.008515,0.008515
47,100.487,1.22134,1.18899,1.04114,0.60471,0.73873,0.68295,0.40768,1.19777,2.40537,1.14061,0.008482,0.008482,0.008482
48,102.282,1.2029,1.28427,1.05368,0.60471,0.73873,0.68295,0.40768,1.19777,2.40537,1.14061,0.008449,0.008449,0.008449
49,104.148,1.28615,1.38064,1.06186,0.60471,0.73873,0.68295,0.40768,1.19777,2.40537,1.14061,0.008416,0.008416,0.008416
50,105.905,1.2111,1.16947,1.0563,0.521,0.69593,0.59169,0.37011,1.16718,2.3642,1.10945,0.008383,0.008383,0.008383
51,107.673,1.23191,1.19865,1.0305,0.521,0.69593,0.59169,0.37011,1.16718,2.3642,1.10945,0.00835,0.00835,0.00835
52,109.561,1.19604,1.15986,1.046,0.521,0.69593,0.59169,0.37011,1.16718,2.3642,1.10945,0.008317,0.008317,0.008317
53,111.513,1.24241,1.30187,1.08759,0.56506,0.62396,0.53471,0.33425,1.25467,1.84641,1.14461,0.008284,0.008284,0.008284
54,113.787,1.26119,1.2523,1.07193,0.56506,0.62396,0.53471,0.33425,1.25467,1.84641,1.14461,0.008251,0.008251,0.008251
55,115.452,1.18619,1.23572,1.0795,0.56506,0.62396,0.53471,0.33425,1.25467,1.84641,1.14461,0.008218,0.008218,0.008218
56,117.197,1.19867,1.20963,1.0483,0.74536,0.74896,0.70532,0.43484,1.23817,1.59045,1.16877,0.008185,0.008185,0.008185
57,118.975,1.19417,1.08656,1.06956,0.74536,0.74896,0.70532,0.43484,1.23817,1.59045,1.16877,0.008152,0.008152,0.008152
58,120.782,1.19346,1.16987,1.04568,0.74536,0.74896,0.70532,0.43484,1.23817,1.59045,1.16877,0.008119,0.008119,0.008119
59,122.626,1.19588,1.10556,1.01852,0.76442,0.72485,0.70903,0.45124,1.17356,1.45958,1.13399,0.008086,0.008086,0.008086
60,124.631,1.23664,1.18195,1.03915,0.76442,0.72485,0.70903,0.45124,1.17356,1.45958,1.13399,0.008053,0.008053,0.008053
61,126.976,1.21495,1.24385,1.08425,0.76442,0.72485,0.70903,0.45124,1.17356,1.45958,1.13399,0.00802,0.00802,0.00802
62,129.526,1.2639,1.14908,1.00513,0.76715,0.79412,0.75671,0.48934,1.14354,1.26334,1.09833,0.007987,0.007987,0.007987
63,131.29,1.16536,1.10629,1.03609,0.76715,0.79412,0.75671,0.48934,1.14354,1.26334,1.09833,0.007954,0.007954,0.007954
64,133.073,1.17872,1.11284,1.03417,0.76715,0.79412,0.75671,0.48934,1.14354,1.26334,1.09833,0.007921,0.007921,0.007921
65,134.934,1.2465,1.05189,1.00844,0.76715,0.79412,0.75671,0.48934,1.14354,1.26334,1.09833,0.007888,0.007888,0.007888
66,136.862,1.21956,1.06052,0.99417,0.77473,0.82119,0.77782,0.49776,1.17023,1.23431,1.09673,0.007855,0.007855,0.007855
67,139.331,1.22787,1.0936,0.99238,0.77473,0.82119,0.77782,0.49776,1.17023,1.23431,1.09673,0.007822,0.007822,0.007822
68,141.26,1.30503,1.14239,1.00264,0.77473,0.82119,0.77782,0.49776,1.17023,1.23431,1.09673,0.007789,0.007789,0.007789
69,143.131,1.17215,1.05661,1.03305,0.75863,0.81632,0.76299,0.50096,1.16417,1.20052,1.09722,0.007756,0.007756,0.007756
70,144.874,1.22853,1.11749,1.02007,0.75863,0.81632,0.76299,0.50096,1.16417,1.20052,1.09722,0.007723,0.007723,0.007723
71,146.602,1.17076,1.16397,1.03653,0.75863,0.81632,0.76299,0.50096,1.16417,1.20052,1.09722,0.00769,0.00769,0.00769
72,148.533,1.30819,1.09762,0.97875,0.7804,0.8224,0.7502,0.49443,1.16144,1.15126,1.08997,0.007657,0.007657,0.007657
73,150.524,1.23931,1.06556,1.01747,0.7804,0.8224,0.7502,0.49443,1.16144,1.15126,1.08997,0.007624,0.007624,0.007624
74,153.016,1.2841,1.07939,1.03051,0.7804,0.8224,0.7502,0.49443,1.16144,1.15126,1.08997,0.007591,0.007591,0.007591
75,154.874,1.25017,1.10448,0.98131,0.78963,0.79982,0.7398,0.49231,1.15119,1.13383,1.07214,0.007558,0.007558,0.007558
76,156.63,1.17433,1.08059,1.0268,0.78963,0.79982,0.7398,0.49231,1.15119,1.13383,1.07214,0.007525,0.007525,0.007525
77,158.382,1.20508,1.06625,1.04644,0.78963,0.79982,0.7398,0.49231,1.15119,1.13383,1.07214,0.007492,0.007492,0.007492
78,160.251,1.27777,1.13933,1.01957,0.83259,0.82072,0.79724,0.52848,1.13115,1.0588,1.07204,0.007459,0.007459,0.007459
79,161.966,1.21837,1.15529,1.05444,0.83259,0.82072,0.79724,0.52848,1.13115,1.0588,1.07204,0.007426,0.007426,0.007426
80,164.05,1.18973,1.04903,1.046,0.83259,0.82072,0.79724,0.52848,1.13115,1.0588,1.07204,0.007393,0.007393,0.007393
81,166.29,1.11583,1.07373,1.03181,0.83259,0.82072,0.79724,0.52848,1.13115,1.0588,1.07204,0.00736,0.00736,0.00736
82,168.095,1.13877,0.99622,1.03134,0.80671,0.81233,0.77036,0.51596,1.11835,1.05657,1.06436,0.007327,0.007327,0.007327
83,169.884,1.19051,1.06437,1.02876,0.80671,0.81233,0.77036,0.51596,1.11835,1.05657,1.06436,0.007294,0.007294,0.007294
84,171.589,1.14409,1.02755,1.01379,0.80671,0.81233,0.77036,0.51596,1.11835,1.05657,1.06436,0.007261,0.007261,0.007261
85,173.422,1.16453,1.00952,1.01301,0.82645,0.82848,0.80621,0.53236,1.13767,1.04099,1.06695,0.007228,0.007228,0.007228
