epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,137.836,1.18966,1.07979,1.03462,0.40925,0.09478,0.07904,0.04555,1.68667,inf,1.45973,0.008482,0.008482,0.008482
48,140.3,1.20207,1.11025,1.05051,0.40925,0.09478,0.07904,0.04555,1.68667,inf,1.45973,0.008449,0.008449,0.008449
49,143.054,1.25698,1.19606,1.0577,0.40925,0.09478,0.07904,0.04555,1.68667,inf,1.45973,0.008416,0.008416,0.008416
50,145.069,1.19388,1.00478,1.05428,0.49303,0.40205,0.29856,0.20156,1.2912,2.7074,1.22858,0.008383,0.008383,0.008383
51,147.122,1.18975,1.0269,1.02691,0.49303,0.40205,0.29856,0.20156,1.2912,2.7074,1.22858,0.00835,0.00835,0.00835
52,149.409,1.14304,0.97188,1.0305,0.49303,0.40205,0.29856,0.20156,1.2912,2.7074,1.22858,0.008317,0.008317,0.008317
53,151.452,1.23079,1.16227,1.09208,0.56283,0.46323,0.38697,0.24705,1.29253,2.51798,1.22099,0.008284,0.008284,0.008284
54,153.898,1.20477,1.14762,1.06128,0.56283,0.46323,0.38697,0.24705,1.29253,2.51798,1.22099,0.008251,0.008251,0.008251
55,156.41,1.1497,1.08853,1.07684,0.56283,0.46323,0.38697,0.24705,1.29253,2.51798,1.22099,0.008218,0.008218,0.008218
56,158.489,1.1759,0.97391,1.04433,0.60061,0.61253,0.53186,0.35287,1.18625,1.92239,1.17299,0.008185,0.008185,0.008185
57,160.647,1.16028,0.92182,1.05895,0.60061,0.61253,0.53186,0.35287,1.18625,1.92239,1.17299,0.008152,0.008152,0.008152
58,162.658,1.16316,1.00916,1.04117,0.60061,0.61253,0.53186,0.35287,1.18625,1.92239,1.17299,0.008119,0.008119,0.008119
59,164.75,1.16981,0.92829,1.01841,0.58445,0.64255,0.58073,0.38675,1.14548,1.4525,1.14281,0.008086,0.008086,0.008086
60,167.172,1.16197,0.97237,1.02993,0.58445,0.64255,0.58073,0.38675,1.14548,1.4525,1.14281,0.008053,0.008053,0.008053
61,169.743,1.15277,1.07319,1.06839,0.58445,0.64255,0.58073,0.38675,1.14548,1.4525,1.14281,0.00802,0.00802,0.00802
62,171.841,1.17306,0.97753,0.99448,0.59533,0.61155,0.59069,0.39072,1.1591,1.38113,1.1453,0.007987,0.007987,0.007987
63,173.837,1.15081,0.91759,1.04734,0.59533,0.61155,0.59069,0.39072,1.1591,1.38113,1.1453,0.007954,0.007954,0.007954
64,175.818,1.16511,0.96346,1.03949,0.59533,0.61155,0.59069,0.39072,1.1591,1.38113,1.1453,0.007921,0.007921,0.007921
65,177.876,1.19246,0.88314,1.0023,0.59533,0.61155,0.59069,0.39072,1.1591,1.38113,1.1453,0.007888,0.007888,0.007888
