,precision,recall,f1-score,support
bad,0.7248407643312101,0.9827288428324698,0.8343108504398827,579.0
good,0.9291338582677166,0.9335443037974683,0.9313338595106551,632.0
shell,0.9871244635193133,0.6814814814814815,0.8063102541630149,675.0
accuracy,0.8584305408271474,0.8584305408271474,0.8584305408271474,0.8584305408271474
macro avg,0.8803663620394134,0.8659182093704731,0.8573183213711842,1886.0
weighted avg,0.8871709511391855,0.8584305408271474,0.8568019104853982,1886.0
