epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.13827,1.48789,3.90038,1.25697,0,0,0,0,1.14261,3.51957,1.03245,0.0004,0.0004,0.0964
2,8.11687,1.40154,3.18663,1.04798,0.27318,0.19004,0.07806,0.02483,1.72702,3.17244,1.64053,0.00089703,0.00089703,0.091897
3,10.082,1.53282,2.32102,1.0894,0.43712,0.1721,0.06858,0.02756,1.92815,2.63987,1.65017,0.00139076,0.00139076,0.0873908
4,11.8716,1.45056,2.09106,1.09012,0.46288,0.2351,0.14559,0.07871,1.68722,2.74182,1.42243,0.00188119,0.00188119,0.0828812
5,13.629,1.45194,1.8418,1.10998,0.82922,0.24747,0.19238,0.11111,1.59865,2.22612,1.37612,0.00236832,0.00236832,0.0783683
6,15.9863,1.47578,1.64864,1.05389,0.5484,0.34712,0.22756,0.13405,1.41499,2.4402,1.22416,0.00285215,0.00285215,0.0738522
7,17.9335,1.32899,1.54087,1.08644,0.49013,0.24597,0.17091,0.10206,1.49618,2.97635,1.2207,0.00333268,0.00333268,0.0693327
8,19.6341,1.39683,1.4103,1.11213,0.49013,0.24597,0.17091,0.10206,1.49618,2.97635,1.2207,0.00380991,0.00380991,0.0648099
9,21.4001,1.27322,1.37523,1.05043,0.20944,0.1594,0.05619,0.02105,1.84628,4.04949,1.38317,0.00428384,0.00428384,0.0602838
10,23.2165,1.31922,1.40249,1.08373,0.41019,0.21553,0.0707,0.03402,1.79328,3.31407,1.52626,0.00475447,0.00475447,0.0557545
11,24.9572,1.37458,1.35378,1.08972,0.41019,0.21553,0.0707,0.03402,1.79328,3.31407,1.52626,0.0052218,0.0052218,0.0512218
12,26.9405,1.45329,1.4705,1.0489,0.33466,0.00487,2e-05,1e-05,2.18156,inf,2.07257,0.00568583,0.00568583,0.0466858
13,29.3287,1.31143,1.4444,1.1056,0.33466,0.00487,2e-05,1e-05,2.18156,inf,2.07257,0.00614656,0.00614656,0.0421466
14,31.1496,1.37339,1.47815,1.11341,0.33466,0.00487,2e-05,1e-05,2.18156,inf,2.07257,0.00660399,0.00660399,0.037604
15,32.9891,1.37369,1.44224,1.11271,0.00039,0.00112,0,0,2.49051,inf,2.35005,0.00705812,0.00705812,0.0330581
16,34.8053,1.31155,1.41109,1.09723,0.00039,0.00112,0,0,2.49051,inf,2.35005,0.00750895,0.00750895,0.028509
17,36.6014,1.27399,1.44497,1.09964,0.00039,0.00112,0,0,2.49051,inf,2.35005,0.00795648,0.00795648,0.0239565
18,38.4834,1.33977,1.33373,1.07303,0.00015,0.00037,0,0,3.15997,inf,3.0886,0.00840071,0.00840071,0.0194007
19,40.5356,1.38063,1.33234,1.08987,0.00015,0.00037,0,0,3.15997,inf,3.0886,0.00884164,0.00884164,0.0148416
20,42.964,1.36625,1.30506,1.05285,0.00015,0.00037,0,0,3.15997,inf,3.0886,0.00927927,0.00927927,0.0102793
21,44.7467,1.41032,1.30313,1.0567,0.00051,0.0015,0,0,3.31934,inf,4.27399,0.00934,0.00934,0.00934
22,46.4218,1.37936,1.36445,1.07585,0.00051,0.0015,0,0,3.31934,inf,4.27399,0.009307,0.009307,0.009307
23,48.1926,1.32153,1.42158,1.07161,0.00051,0.0015,0,0,3.31934,inf,4.27399,0.009274,0.009274,0.009274
24,49.9394,1.37956,1.38973,1.10042,0.00196,0.00525,7e-05,2e-05,2.88471,inf,3.53256,0.009241,0.009241,0.009241
25,51.7256,1.37419,1.35435,1.0728,0.00196,0.00525,7e-05,2e-05,2.88471,inf,3.53256,0.009208,0.009208,0.009208
26,53.6891,1.27811,1.31121,1.04277,0.00196,0.00525,7e-05,2e-05,2.88471,inf,3.53256,0.009175,0.009175,0.009175
27,55.9391,1.25844,1.33359,1.09742,0.05334,0.1287,0.01673,0.00982,2.52798,inf,3.96313,0.009142,0.009142,0.009142
28,57.592,1.26234,1.27683,1.09181,0.05334,0.1287,0.01673,0.00982,2.52798,inf,3.96313,0.009109,0.009109,0.009109
29,59.3029,1.31061,1.26294,1.04606,0.05334,0.1287,0.01673,0.00982,2.52798,inf,3.96313,0.009076,0.009076,0.009076
30,60.9037,1.25078,1.2542,1.03775,0.19149,0.17312,0.02663,0.01243,2.17741,inf,2.70626,0.009043,0.009043,0.009043
31,62.5038,1.25493,1.22859,1.07852,0.19149,0.17312,0.02663,0.01243,2.17741,inf,2.70626,0.00901,0.00901,0.00901
32,64.0507,1.26487,1.33464,1.09979,0.19149,0.17312,0.02663,0.01243,2.17741,inf,2.70626,0.008977,0.008977,0.008977
33,65.7395,1.30012,1.40331,1.08908,0.19149,0.17312,0.02663,0.01243,2.17741,inf,2.70626,0.008944,0.008944,0.008944
34,68.0464,1.2829,1.2772,1.05426,0.25847,0.38289,0.16569,0.0849,1.83464,inf,1.97142,0.008911,0.008911,0.008911
35,69.8076,1.20096,1.31709,1.08131,0.25847,0.38289,0.16569,0.0849,1.83464,inf,1.97142,0.008878,0.008878,0.008878
36,71.5668,1.28376,1.31689,1.08717,0.25847,0.38289,0.16569,0.0849,1.83464,inf,1.97142,0.008845,0.008845,0.008845
37,73.1959,1.27997,1.28826,1.0523,0.37456,0.30859,0.14494,0.08656,1.73085,inf,1.83734,0.008812,0.008812,0.008812
38,74.8986,1.28711,1.24841,1.08172,0.37456,0.30859,0.14494,0.08656,1.73085,inf,1.83734,0.008779,0.008779,0.008779
39,76.438,1.20557,1.31585,1.09037,0.37456,0.30859,0.14494,0.08656,1.73085,inf,1.83734,0.008746,0.008746,0.008746
40,78.1039,1.18007,1.24261,1.04508,0.52556,0.27297,0.11891,0.06224,1.61761,2.51837,1.46784,0.008713,0.008713,0.008713
41,80.1716,1.24064,1.25952,1.02806,0.52556,0.27297,0.11891,0.06224,1.61761,2.51837,1.46784,0.00868,0.00868,0.00868
42,82.2195,1.19352,1.25453,1.01517,0.52556,0.27297,0.11891,0.06224,1.61761,2.51837,1.46784,0.008647,0.008647,0.008647
43,83.9199,1.18477,1.30924,1.05965,0.74541,0.37098,0.35714,0.21027,1.48044,2.08521,1.40263,0.008614,0.008614,0.008614
44,85.5935,1.15269,1.2695,1.0433,0.74541,0.37098,0.35714,0.21027,1.48044,2.08521,1.40263,0.008581,0.008581,0.008581
45,87.3877,1.27447,1.31931,1.03026,0.74541,0.37098,0.35714,0.21027,1.48044,2.08521,1.40263,0.008548,0.008548,0.008548
46,89.0545,1.21774,1.22007,1.05505,0.71137,0.45073,0.3594,0.22093,1.36116,2.38529,1.31371,0.008515,0.008515,0.008515
47,90.7622,1.17864,1.11691,1.0179,0.71137,0.45073,0.3594,0.22093,1.36116,2.38529,1.31371,0.008482,0.008482,0.008482
48,92.6217,1.15429,1.23286,1.02446,0.71137,0.45073,0.3594,0.22093,1.36116,2.38529,1.31371,0.008449,0.008449,0.008449
49,94.804,1.21397,1.34591,1.02897,0.71137,0.45073,0.3594,0.22093,1.36116,2.38529,1.31371,0.008416,0.008416,0.008416
50,96.4423,1.1615,1.17862,1.03346,0.41819,0.56306,0.35607,0.21778,1.21695,2.58777,1.16805,0.008383,0.008383,0.008383
51,98.1365,1.18086,1.2168,1.01748,0.41819,0.56306,0.35607,0.21778,1.21695,2.58777,1.16805,0.00835,0.00835,0.00835
52,99.9253,1.12689,1.1279,1.01517,0.41819,0.56306,0.35607,0.21778,1.21695,2.58777,1.16805,0.008317,0.008317,0.008317
53,101.587,1.23683,1.36132,1.09064,0.55072,0.6188,0.43469,0.23521,1.51632,1.64418,1.28292,0.008284,0.008284,0.008284
54,103.263,1.21416,1.24175,1.06227,0.55072,0.6188,0.43469,0.23521,1.51632,1.64418,1.28292,0.008251,0.008251,0.008251
55,104.994,1.14537,1.23625,1.07254,0.55072,0.6188,0.43469,0.23521,1.51632,1.64418,1.28292,0.008218,0.008218,0.008218
56,107.269,1.17021,1.18831,1.03961,0.50935,0.74767,0.59427,0.39105,1.1622,1.30836,1.13153,0.008185,0.008185,0.008185
57,109.023,1.14273,1.09881,1.05891,0.50935,0.74767,0.59427,0.39105,1.1622,1.30836,1.13153,0.008152,0.008152,0.008152
58,110.753,1.14266,1.19135,1.03952,0.50935,0.74767,0.59427,0.39105,1.1622,1.30836,1.13153,0.008119,0.008119,0.008119
59,112.52,1.14441,1.11248,1.00906,0.55442,0.67065,0.56544,0.36289,1.22346,1.43176,1.14707,0.008086,0.008086,0.008086
60,114.264,1.18344,1.14081,1.03031,0.55442,0.67065,0.56544,0.36289,1.22346,1.43176,1.14707,0.008053,0.008053,0.008053
61,115.962,1.17692,1.2307,1.07323,0.55442,0.67065,0.56544,0.36289,1.22346,1.43176,1.14707,0.00802,0.00802,0.00802
62,117.75,1.19479,1.12305,0.98878,0.52892,0.62857,0.52846,0.34682,1.18044,1.54013,1.13131,0.007987,0.007987,0.007987
63,119.932,1.13558,1.11591,1.02949,0.52892,0.62857,0.52846,0.34682,1.18044,1.54013,1.13131,0.007954,0.007954,0.007954
64,121.715,1.14076,1.13898,1.02422,0.52892,0.62857,0.52846,0.34682,1.18044,1.54013,1.13131,0.007921,0.007921,0.007921
65,123.477,1.16672,1.07162,0.99105,0.52892,0.62857,0.52846,0.34682,1.18044,1.54013,1.13131,0.007888,0.007888,0.007888
66,125.225,1.17188,1.08011,0.98575,0.52537,0.62528,0.47858,0.30272,1.22834,1.57572,1.18898,0.007855,0.007855,0.007855
67,126.994,1.18196,1.10726,0.98601,0.52537,0.62528,0.47858,0.30272,1.22834,1.57572,1.18898,0.007822,0.007822,0.007822
68,128.776,1.27202,1.14834,0.99701,0.52537,0.62528,0.47858,0.30272,1.22834,1.57572,1.18898,0.007789,0.007789,0.007789
69,130.548,1.14842,1.09859,1.03029,0.50634,0.58604,0.44819,0.28865,1.24798,1.84194,1.22863,0.007756,0.007756,0.007756
70,132.867,1.19728,1.11857,1.01403,0.50634,0.58604,0.44819,0.28865,1.24798,1.84194,1.22863,0.007723,0.007723,0.007723
71,134.5,1.14783,1.12674,1.03534,0.50634,0.58604,0.44819,0.28865,1.24798,1.84194,1.22863,0.00769,0.00769,0.00769
72,136.321,1.27334,1.08135,0.97538,0.45182,0.56461,0.40429,0.25483,1.23518,2.66556,1.2227,0.007657,0.007657,0.007657
73,138.093,1.1942,1.07506,1.01673,0.45182,0.56461,0.40429,0.25483,1.23518,2.66556,1.2227,0.007624,0.007624,0.007624
74,139.908,1.22259,1.09765,1.03305,0.45182,0.56461,0.40429,0.25483,1.23518,2.66556,1.2227,0.007591,0.007591,0.007591
75,141.731,1.21136,1.05929,0.97831,0.58549,0.61976,0.51742,0.3308,1.2165,1.98518,1.21604,0.007558,0.007558,0.007558
76,143.468,1.17331,1.11892,1.04739,0.58549,0.61976,0.51742,0.3308,1.2165,1.98518,1.21604,0.007525,0.007525,0.007525
77,145.711,1.21942,1.06504,1.06292,0.58549,0.61976,0.51742,0.3308,1.2165,1.98518,1.21604,0.007492,0.007492,0.007492
78,147.547,1.27058,1.13061,1.0323,0.69788,0.59812,0.54454,0.35863,1.1876,1.65521,1.19595,0.007459,0.007459,0.007459
79,149.179,1.16815,1.12007,1.06226,0.69788,0.59812,0.54454,0.35863,1.1876,1.65521,1.19595,0.007426,0.007426,0.007426
80,150.895,1.1623,1.02479,1.05582,0.69788,0.59812,0.54454,0.35863,1.1876,1.65521,1.19595,0.007393,0.007393,0.007393
81,152.558,1.09058,1.02564,1.04122,0.69788,0.59812,0.54454,0.35863,1.1876,1.65521,1.19595,0.00736,0.00736,0.00736
82,154.294,1.14027,0.98973,1.05049,0.73091,0.60039,0.56567,0.36859,1.25461,1.34804,1.21786,0.007327,0.007327,0.007327
83,156.095,1.19191,1.05837,1.05015,0.73091,0.60039,0.56567,0.36859,1.25461,1.34804,1.21786,0.007294,0.007294,0.007294
84,158.394,1.15288,1.01928,1.03663,0.73091,0.60039,0.56567,0.36859,1.25461,1.34804,1.21786,0.007261,0.007261,0.007261
85,160.24,1.15129,1.00737,1.02757,0.79265,0.71994,0.75174,0.50715,1.22041,1.28121,1.18974,0.007228,0.007228,0.007228
86,161.898,1.11779,0.95787,1.01412,0.79265,0.71994,0.75174,0.50715,1.22041,1.28121,1.18974,0.007195,0.007195,0.007195
87,163.659,1.1138,1.01068,1.00407,0.79265,0.71994,0.75174,0.50715,1.22041,1.28121,1.18974,0.007162,0.007162,0.007162
88,165.453,1.16605,0.98617,0.99106,0.80249,0.72782,0.74396,0.49386,1.22674,1.3599,1.19447,0.007129,0.007129,0.007129
89,167.251,1.21115,1.00666,1.02759,0.80249,0.72782,0.74396,0.49386,1.22674,1.3599,1.19447,0.007096,0.007096,0.007096
90,168.978,1.15144,1.05513,1.06664,0.80249,0.72782,0.74396,0.49386,1.22674,1.3599,1.19447,0.007063,0.007063,0.007063
91,171.228,1.17207,0.97328,1.0313,0.82631,0.73459,0.73718,0.49218,1.22262,1.24813,1.19883,0.00703,0.00703,0.00703
92,172.926,1.09888,0.99809,1.03711,0.82631,0.73459,0.73718,0.49218,1.22262,1.24813,1.19883,0.006997,0.006997,0.006997
93,174.718,1.16342,0.97347,1.00469,0.82631,0.73459,0.73718,0.49218,1.22262,1.24813,1.19883,0.006964,0.006964,0.006964
94,176.466,1.20761,0.92493,1.00492,0.76852,0.70016,0.67435,0.44385,1.19222,1.24674,1.17214,0.006931,0.006931,0.006931
95,178.169,1.07755,1.01797,1.0067,0.76852,0.70016,0.67435,0.44385,1.19222,1.24674,1.17214,0.006898,0.006898,0.006898
96,179.892,1.12633,1.00948,1.00006,0.76852,0.70016,0.67435,0.44385,1.19222,1.24674,1.17214,0.006865,0.006865,0.006865
97,181.517,1.08658,1.0141,1.0444,0.76852,0.70016,0.67435,0.44385,1.19222,1.24674,1.17214,0.006832,0.006832,0.006832
98,183.709,1.1175,0.91412,1.01244,0.84479,0.75221,0.77624,0.51783,1.15512,1.07269,1.14707,0.006799,0.006799,0.006799
99,185.662,1.15178,1.00083,1.00548,0.84479,0.75221,0.77624,0.51783,1.15512,1.07269,1.14707,0.006766,0.006766,0.006766
100,187.404,1.11068,0.94489,1.01036,0.84479,0.75221,0.77624,0.51783,1.15512,1.07269,1.14707,0.006733,0.006733,0.006733
101,189.154,1.10243,0.86008,0.99825,0.75443,0.77838,0.7762,0.53097,1.1027,1.0706,1.11732,0.0067,0.0067,0.0067
102,190.825,1.06376,0.8889,1.00659,0.75443,0.77838,0.7762,0.53097,1.1027,1.0706,1.11732,0.006667,0.006667,0.006667
103,192.636,1.09496,0.94854,1.00339,0.75443,0.77838,0.7762,0.53097,1.1027,1.0706,1.11732,0.006634,0.006634,0.006634
